Time,Mass,O2,CO,NO2,NO,SO2,WaterTemp2,WaterTemp3,WaterTemp4,GapTemp,InnerWall,HandleTemp,FireTemp,OutsideSurface
0:00:36,-0.001,21.09,5.43,0.64,2.12,0.62,22.75,22.69,22.56,0.00,22.75,24.25,24.25,23.75,
0:00:37,-0.001,21.09,5.30,0.66,2.08,0.60,22.75,22.69,22.56,0.00,22.75,24.25,24.25,23.75,
0:00:38,-0.001,21.09,5.30,0.62,2.08,0.63,22.69,22.69,22.56,0.00,22.75,24.25,24.25,23.75,
0:00:39,-0.001,21.06,5.55,0.65,2.11,0.68,22.69,22.69,22.56,0.00,22.75,24.25,24.25,23.75,
0:00:40,-0.001,21.09,5.55,0.63,2.11,0.64,22.75,22.69,22.56,0.00,22.75,24.25,24.25,23.75,
0:00:41,-0.001,21.15,5.67,0.63,2.02,0.65,22.75,22.69,22.56,0.00,22.75,24.25,24.25,23.75,
0:00:42,-0.001,21.12,5.55,0.63,2.11,0.62,22.75,22.69,22.56,0.00,22.75,24.25,24.25,23.75,
0:00:43,-0.001,21.03,5.55,0.62,2.11,0.63,22.69,22.69,22.56,0.00,22.75,24.25,24.25,23.75,
0:00:44,-0.002,21.00,5.55,0.64,2.13,0.60,22.69,22.69,22.56,0.00,22.75,24.25,24.25,23.75,
0:00:45,-0.003,21.09,5.43,0.63,2.08,0.63,22.75,22.69,22.56,0.00,22.75,24.25,24.25,23.75,
0:00:46,-0.003,21.06,5.55,0.62,2.00,0.64,22.69,22.69,22.56,0.00,22.75,24.25,24.25,24.00,
0:00:47,-0.003,21.09,5.55,0.64,2.09,0.62,22.69,22.69,22.56,0.00,22.75,24.25,24.25,23.75,
0:00:48,-0.003,21.12,5.55,0.62,2.07,0.64,22.69,22.69,22.56,0.00,22.75,24.25,24.25,23.75,
0:00:49,-0.003,21.18,5.30,0.63,2.07,0.64,22.69,22.69,22.56,0.00,22.75,24.25,24.25,23.75,
0:00:50,-0.003,21.06,5.67,0.63,2.11,0.62,22.69,22.69,22.56,0.00,22.75,24.25,24.25,23.75,
0:00:51,-0.003,21.06,5.18,0.65,2.07,0.60,22.69,22.69,22.56,0.00,22.75,24.25,24.25,23.75,
0:00:52,-0.003,21.06,5.55,0.64,2.07,0.64,22.75,22.69,22.56,0.00,22.75,24.25,24.25,23.75,
0:00:53,-0.003,21.18,5.43,0.63,2.07,0.65,22.69,22.69,22.56,0.00,22.75,24.25,24.25,23.75,
0:00:54,-0.003,21.12,5.43,0.62,2.08,0.64,22.69,22.69,22.56,0.00,22.75,24.25,24.25,23.75,
0:00:55,-0.003,21.03,5.55,0.63,2.07,0.65,22.69,22.69,22.56,0.00,23.00,24.25,24.25,23.75,
0:00:56,-0.003,21.12,5.67,0.60,2.07,0.65,22.69,22.63,22.56,0.00,22.75,24.25,24.25,23.75,
0:00:57,-0.002,21.12,5.55,0.62,2.05,0.62,22.69,22.69,22.56,0.00,22.75,24.25,24.25,23.75,
0:00:58,-0.003,21.06,5.67,0.60,2.06,0.63,22.69,22.63,22.56,0.00,22.75,24.25,24.25,23.75,
0:00:59,-0.003,21.18,5.55,0.66,2.06,0.64,22.75,22.69,22.56,0.00,22.75,24.25,24.25,24.00,
0:01:00,-0.003,21.18,5.55,0.64,2.03,0.63,22.69,22.69,22.56,0.00,22.75,24.25,24.25,24.00,
0:01:01,-0.003,21.06,5.55,0.62,2.06,0.64,22.75,22.69,22.56,0.00,22.75,24.25,24.25,23.75,
0:01:02,-0.003,21.12,5.18,0.63,2.05,0.64,22.69,22.69,22.56,0.00,22.75,24.25,24.25,24.00,
0:01:03,-0.003,21.06,5.55,0.60,2.02,0.63,22.75,22.69,22.56,0.00,22.75,24.25,24.25,23.75,
0:01:04,-0.003,20.97,5.55,0.64,2.02,0.64,22.75,22.69,22.56,0.00,22.75,24.25,24.25,23.75,
0:01:05,-0.003,20.97,5.55,0.64,2.05,0.64,22.75,22.69,22.56,0.00,22.75,24.25,24.25,24.00,
0:01:06,-0.003,21.09,5.55,0.63,2.05,0.58,22.75,22.69,22.56,0.00,22.75,24.25,24.25,24.00,
0:01:07,-0.003,21.24,5.67,0.60,2.06,0.63,22.75,22.69,22.56,0.00,22.75,24.25,24.25,23.75,
0:01:08,-0.003,21.03,5.67,0.65,2.06,0.60,22.75,22.69,22.56,0.00,22.75,24.50,24.25,23.75,
0:01:09,-0.003,21.15,5.67,0.64,2.02,0.62,22.75,22.69,22.56,0.00,22.75,24.25,24.25,24.00,
0:01:10,-0.003,20.97,5.55,0.62,2.03,0.63,22.75,22.69,22.56,0.00,22.75,24.25,24.25,0.00,
0:01:11,-0.004,21.12,5.67,0.65,2.03,0.62,22.75,22.69,22.56,0.00,22.75,24.25,24.25,0.00,
0:01:12,-0.003,21.09,5.79,0.64,2.03,0.63,22.75,22.69,22.56,0.00,22.75,24.25,24.25,23.75,
0:01:13,-0.003,21.06,5.79,0.65,2.01,0.64,22.75,22.69,22.56,0.00,22.75,24.25,24.25,23.75,
0:01:14,-0.003,21.06,5.67,0.63,2.02,0.65,22.75,22.69,22.56,0.00,22.75,24.50,24.25,23.75,
0:01:15,-0.003,21.09,5.67,0.65,2.03,0.62,22.75,22.69,22.56,0.00,22.75,24.25,24.25,24.00,
0:01:16,-0.003,21.18,5.79,0.63,2.02,0.64,22.75,22.69,22.56,0.00,22.75,24.25,24.25,23.75,
0:01:17,-0.003,21.12,5.79,0.63,2.00,0.64,22.75,22.69,22.56,0.00,22.75,24.25,24.25,23.75,
0:01:18,-0.004,21.12,5.67,0.64,2.00,0.63,22.75,22.69,22.56,0.00,22.75,24.25,24.25,23.75,
0:01:19,-0.003,21.12,5.67,0.65,1.98,0.65,22.75,22.69,22.56,0.00,22.75,24.50,24.25,23.75,
0:01:20,-0.003,21.12,5.79,0.64,1.97,0.62,22.75,22.69,22.56,0.00,22.75,24.50,24.25,23.75,
0:01:21,-0.003,21.12,5.91,0.63,2.01,0.65,22.75,22.69,22.56,0.00,22.75,24.25,24.25,23.75,
0:01:22,-0.003,21.15,5.91,0.64,2.01,0.62,22.75,22.69,22.56,0.00,22.75,24.25,24.25,23.75,
0:01:23,-0.003,21.24,5.79,0.62,2.01,0.63,22.75,22.69,22.56,0.00,22.75,24.25,24.25,23.75,
0:01:24,-0.003,21.09,5.79,0.63,2.01,0.64,22.75,22.69,22.56,0.00,22.75,24.25,24.25,23.75,
0:01:25,-0.003,21.09,5.79,0.63,2.02,0.65,22.75,22.69,22.56,0.00,22.75,24.50,24.25,23.75,
0:01:26,-0.004,21.09,5.79,0.64,1.97,0.63,22.75,22.69,22.56,0.00,22.75,24.50,24.25,23.75,
0:01:27,-0.003,21.06,5.91,0.64,2.01,0.62,22.75,22.69,22.56,0.00,22.75,24.25,24.25,23.75,
0:01:28,-0.003,21.15,5.79,0.63,1.97,0.65,22.75,22.69,22.56,0.00,22.75,24.25,24.25,23.75,
0:01:29,-0.003,21.09,5.79,0.62,2.00,0.65,22.75,22.69,22.56,0.00,22.75,24.50,24.25,24.00,
0:01:30,-0.004,21.18,5.79,0.65,2.00,0.62,22.75,22.69,22.56,0.00,22.75,24.25,24.25,24.00,
0:01:31,-0.004,21.15,5.67,0.63,2.01,0.62,22.75,22.69,22.56,0.00,22.75,24.50,24.25,24.00,
0:01:32,-0.004,21.09,6.04,0.65,1.97,0.65,22.75,22.69,22.56,0.00,22.75,24.50,24.25,24.00,
0:01:33,-0.003,21.03,5.91,0.62,1.95,0.65,22.75,22.69,22.56,0.00,22.75,24.50,24.25,23.75,
0:01:34,-0.004,21.09,6.04,0.63,1.98,0.64,22.75,22.69,22.56,0.00,22.75,24.50,24.25,24.00,
0:01:35,-0.003,21.06,5.91,0.63,1.96,0.65,22.75,22.69,22.56,0.00,22.75,24.50,24.25,23.75,
0:01:36,-0.003,21.12,6.04,0.65,1.97,0.64,22.75,22.69,22.56,0.00,22.75,24.50,24.25,23.75,
0:01:37,-0.004,21.09,6.04,0.62,1.98,0.64,22.75,22.69,22.56,0.00,22.75,24.25,24.25,23.75,
0:01:38,-0.003,21.09,6.16,0.64,2.00,0.64,22.75,22.69,22.56,0.00,22.75,24.50,24.25,24.00,
0:01:39,-0.003,21.12,6.16,0.63,1.97,0.65,22.75,22.69,22.56,0.00,22.75,24.25,24.25,24.00,
0:01:40,-0.003,21.15,5.91,0.64,1.95,0.62,22.75,22.69,22.56,0.00,22.75,24.50,24.25,23.75,
0:01:41,-0.004,21.09,6.04,0.64,1.96,0.59,22.75,22.69,22.56,0.00,22.75,24.50,24.25,23.75,
0:01:42,-0.004,21.12,6.04,0.63,1.97,0.64,22.75,22.69,22.56,0.00,22.75,24.50,24.25,23.75,
0:01:43,-0.004,21.06,6.16,0.63,1.96,0.64,22.75,22.69,22.56,0.00,22.75,24.50,24.25,23.75,
0:01:44,-0.003,21.12,6.04,0.63,1.97,0.65,22.75,22.69,22.56,0.00,22.75,24.25,24.25,24.00,
0:01:45,-0.004,21.03,6.16,0.60,1.96,0.62,22.75,22.69,22.56,0.00,22.75,24.50,24.25,23.75,
0:01:46,-0.004,21.15,6.16,0.62,1.96,0.63,22.75,22.69,22.56,0.00,22.75,24.25,24.50,23.75,
0:01:47,-0.004,21.12,6.28,0.63,1.94,0.64,22.75,22.69,22.63,0.00,22.75,24.25,24.25,23.75,
0:01:48,-0.004,21.03,6.16,0.63,1.92,0.62,22.75,22.69,22.56,0.00,22.75,24.50,24.25,23.75,
0:01:49,-0.004,21.09,6.16,0.60,1.92,0.62,22.75,22.69,22.56,0.00,22.75,24.25,24.25,23.75,
0:01:50,-0.004,21.12,6.16,0.63,2.03,0.63,22.75,22.69,22.56,0.00,22.75,24.50,24.25,23.75,
0:01:51,-0.004,21.09,6.16,0.63,1.96,0.64,22.75,22.69,22.56,0.00,22.75,24.50,24.25,24.00,
0:01:52,-0.004,21.12,6.40,0.64,1.95,0.66,22.75,22.69,22.56,0.00,22.75,24.50,24.25,23.75,
0:01:53,-0.004,20.94,6.28,0.64,1.95,0.64,22.75,22.69,22.56,0.00,22.75,24.50,24.25,23.75,
0:01:54,-0.004,21.12,6.16,0.62,1.91,0.62,22.75,22.69,22.56,0.00,22.75,24.50,24.25,23.75,
0:01:55,-0.004,21.33,6.52,0.63,1.94,0.65,22.75,22.69,22.56,0.00,22.75,24.50,24.25,23.75,
0:01:56,-0.004,21.06,6.28,0.65,1.94,0.63,22.75,22.69,22.56,0.00,22.75,24.50,24.25,23.75,
0:01:57,-0.004,21.12,6.28,0.63,1.95,0.62,22.75,22.69,22.56,0.00,22.75,24.50,24.25,23.75,
0:01:58,-0.004,21.03,6.40,0.63,1.96,0.63,22.75,22.69,22.56,0.00,22.75,24.50,24.25,23.75,
0:01:59,-0.004,21.09,6.28,0.63,1.95,0.65,22.75,22.69,22.56,0.00,22.75,24.50,24.25,24.00,
0:02:00,-0.003,21.09,6.16,0.63,1.94,0.65,22.75,22.69,22.56,0.00,22.75,24.50,24.25,24.00,
0:02:01,-0.004,21.06,6.40,0.64,1.94,0.64,22.75,22.69,22.56,0.00,22.75,24.50,24.25,23.75,
0:02:02,-0.004,21.09,6.28,0.74,1.94,0.64,22.75,22.69,22.56,0.00,22.75,24.50,24.25,23.75,
0:02:03,-0.004,21.09,6.65,0.65,1.90,0.63,22.75,22.69,22.56,0.00,22.75,24.50,24.25,24.00,
0:02:04,-0.004,21.06,6.52,0.63,1.91,0.63,22.75,22.69,22.56,0.00,22.75,24.50,24.25,24.00,
0:02:05,-0.004,21.09,6.28,0.69,1.91,0.64,22.75,22.69,22.56,0.00,22.75,24.50,24.25,23.75,
0:02:06,-0.004,21.03,6.40,0.62,1.92,0.62,22.75,22.69,22.56,0.00,22.75,24.50,24.25,23.75,
0:02:07,-0.004,21.06,6.52,0.64,1.89,0.65,22.75,22.69,22.56,0.00,22.75,24.50,24.25,24.00,
0:02:08,-0.004,21.12,6.52,0.63,1.92,0.65,22.75,22.69,22.56,0.00,22.75,24.50,24.25,24.00,
0:02:09,-0.005,21.09,6.52,0.63,1.92,0.64,22.75,22.69,22.56,0.00,22.75,24.50,24.25,23.75,
0:02:10,-0.004,21.12,6.28,0.65,1.92,0.63,22.75,22.69,22.56,0.00,22.75,24.50,24.25,23.75,
0:02:11,-0.004,21.12,6.40,0.64,1.90,0.63,22.75,22.69,22.56,0.00,22.75,24.50,24.25,24.00,
0:02:12,-0.004,21.09,6.40,0.64,1.90,0.63,22.75,22.69,22.56,0.00,22.75,24.50,24.25,23.75,
0:02:13,-0.004,21.18,6.52,0.63,1.91,0.65,22.75,22.69,22.56,0.00,22.75,24.50,24.25,24.00,
0:02:14,-0.003,21.09,6.52,0.64,1.91,0.63,22.75,22.69,22.56,0.00,22.75,24.50,24.25,24.25,
0:02:15,-0.004,21.09,6.65,0.64,1.92,0.62,22.75,22.69,22.56,0.00,23.00,24.50,24.25,24.00,
0:02:16,-0.004,21.06,6.40,0.64,1.87,0.65,22.75,22.69,22.56,0.00,23.00,24.50,24.25,24.00,
0:02:17,-0.004,21.15,6.52,0.64,1.89,0.63,22.75,22.69,22.56,0.00,22.75,24.50,24.50,24.00,
0:02:18,-0.004,21.15,6.65,0.62,1.91,0.63,22.75,22.69,22.56,0.00,23.00,24.50,24.25,24.00,
0:02:19,-0.004,21.27,6.65,0.65,1.87,0.63,22.75,22.69,22.56,0.00,22.75,24.50,24.25,24.00,
0:02:20,-0.004,21.09,6.77,0.65,1.89,0.64,22.75,22.69,22.56,0.00,22.75,24.50,24.50,23.75,
0:02:21,-0.004,21.18,6.89,0.60,1.90,0.65,22.75,22.69,22.56,0.00,22.75,24.50,24.50,23.75,
0:02:22,-0.004,21.18,8.72,0.66,1.87,0.54,22.75,22.69,22.56,0.00,22.75,24.50,24.50,23.75,
0:02:23,-0.004,21.21,6.52,0.66,1.90,0.66,22.75,22.69,22.56,0.00,23.00,24.50,24.50,23.75,
0:02:24,-0.004,21.12,8.24,0.64,1.91,0.71,22.75,22.69,22.56,0.00,23.00,24.50,24.50,23.75,
0:02:25,-0.004,21.03,6.77,0.64,1.83,0.55,22.75,22.69,22.56,0.00,22.75,24.50,24.25,23.75,
0:02:26,-0.004,21.03,7.99,0.66,1.89,0.77,22.75,22.69,22.56,0.00,22.75,24.50,24.50,23.75,
0:02:27,-0.004,21.12,5.91,0.22,2.51,0.46,22.75,22.69,22.56,0.00,22.75,24.25,24.25,23.75,
0:02:28,-0.004,21.15,6.40,0.63,1.90,0.54,22.75,22.69,22.56,0.00,22.75,24.50,24.25,23.75,
0:02:29,-0.004,21.12,7.50,0.65,1.85,0.65,22.75,22.69,22.56,0.00,22.75,24.50,24.25,23.75,
0:02:30,-0.004,21.15,6.89,0.62,1.90,0.65,22.75,22.69,22.56,0.00,22.75,24.25,24.25,23.75,
0:02:31,-0.004,21.21,7.01,0.63,1.90,0.65,22.75,22.69,22.56,0.00,22.75,24.25,24.25,23.75,
0:02:32,-0.004,21.03,7.01,0.70,1.86,0.64,22.75,22.69,22.56,0.00,22.75,24.25,24.50,23.75,
0:02:33,-0.004,21.09,6.89,0.63,1.86,0.95,22.75,22.69,22.56,0.00,22.75,24.50,24.50,23.75,
0:02:34,-0.004,21.06,7.01,0.60,1.87,0.63,22.75,22.69,22.56,0.00,22.75,24.25,24.25,23.75,
0:02:35,-0.004,21.12,7.01,0.54,1.91,0.63,22.75,22.69,22.56,0.00,22.75,24.50,24.25,23.75,
0:02:36,-0.004,21.09,7.01,0.65,1.85,0.64,22.75,22.69,22.56,0.00,22.75,24.25,24.25,23.75,
0:02:37,-0.004,21.18,6.52,0.68,1.85,0.92,22.75,22.69,22.56,0.00,22.75,24.50,24.50,23.75,
0:02:38,-0.004,20.94,7.26,0.68,1.84,0.62,22.75,22.69,22.56,0.00,22.75,24.50,24.50,23.75,
0:02:39,-0.004,21.06,7.14,0.64,1.86,0.64,22.75,22.69,22.56,0.00,22.75,24.50,24.50,23.75,
0:02:40,-0.004,21.09,7.26,0.66,1.86,0.70,22.75,22.69,22.56,0.00,22.75,24.50,24.50,24.00,
0:02:41,-0.005,21.06,7.01,0.66,1.91,0.73,22.75,22.69,22.56,0.00,22.75,24.50,24.25,23.75,
0:02:42,-0.004,21.15,7.14,0.64,1.74,0.64,22.75,22.69,22.56,0.00,22.75,24.50,24.50,23.75,
0:02:43,-0.005,21.03,7.26,0.65,1.79,0.64,22.75,22.69,22.56,0.00,22.75,24.50,24.25,23.75,
0:02:44,-0.004,21.09,7.62,0.58,1.86,0.55,22.75,22.69,22.56,0.00,22.75,24.50,24.50,23.75,
0:02:45,-0.004,21.06,7.14,0.66,1.95,0.63,22.75,22.69,22.56,0.00,22.75,24.50,24.25,23.75,
0:02:46,-0.004,21.24,7.26,0.63,1.81,0.68,22.75,22.69,22.56,0.00,22.75,24.50,24.50,23.75,
0:02:47,-0.004,21.09,7.26,0.66,1.84,0.64,22.75,22.69,22.56,0.00,22.75,24.50,24.50,23.75,
0:02:48,-0.004,21.09,7.26,0.63,1.78,0.65,22.75,22.69,22.56,0.00,22.75,24.50,24.50,24.00,
0:02:49,-0.004,21.18,7.26,0.64,1.84,0.62,22.75,22.69,22.56,0.00,22.75,24.50,24.50,24.00,
0:02:50,-0.004,21.06,7.38,0.63,1.85,0.65,22.75,22.69,22.56,0.00,23.00,24.50,24.50,24.00,
0:02:51,-0.004,21.15,7.50,0.64,1.83,0.68,22.75,22.69,22.56,0.00,22.75,24.25,24.50,23.75,
0:02:52,-0.004,21.12,7.26,0.65,1.81,0.63,22.75,22.69,22.56,0.00,22.75,24.25,24.50,23.75,
0:02:53,-0.004,21.09,7.38,0.63,1.83,0.63,22.75,22.69,22.56,0.00,22.75,24.50,24.50,23.75,
0:02:54,-0.004,21.06,7.50,0.62,1.81,0.62,22.75,22.69,22.56,0.00,22.75,24.25,24.50,23.75,
0:02:55,-0.004,21.18,7.50,0.64,1.80,0.64,22.75,22.69,22.56,0.00,22.75,24.50,24.50,24.00,
0:02:56,-0.004,21.06,7.50,0.64,1.84,0.63,22.75,22.69,22.56,0.00,22.75,24.25,24.50,24.00,
0:02:57,-0.004,21.03,7.75,0.60,1.83,0.63,22.75,22.69,22.56,0.00,22.75,24.50,24.50,24.00,
0:02:58,-0.004,21.06,7.50,0.60,1.81,0.62,22.69,22.69,22.56,0.00,22.75,24.50,24.50,23.75,
0:02:59,-0.004,21.24,7.50,0.59,1.80,0.63,22.75,22.69,22.56,0.00,22.75,24.50,24.50,23.75,
0:03:00,-0.004,21.15,7.75,0.64,1.85,0.62,22.75,22.69,22.56,0.00,22.75,24.50,24.50,23.75,
0:03:01,-0.005,21.15,7.75,0.62,1.84,0.62,22.75,22.69,22.56,0.00,22.75,24.25,24.50,24.00,
0:03:02,-0.004,21.06,7.62,0.62,1.85,0.64,22.75,22.69,22.56,0.00,22.75,24.50,24.50,24.00,
0:03:03,-0.004,21.12,7.75,0.60,1.81,0.63,22.75,22.69,22.56,0.00,22.75,24.50,24.50,23.75,
0:03:04,-0.005,21.09,7.75,0.62,1.81,0.64,22.75,22.69,22.56,0.00,22.75,24.25,24.50,24.00,
0:03:05,-0.004,21.12,7.75,0.62,1.83,0.62,22.75,22.69,22.56,0.00,22.75,24.50,24.50,23.75,
0:03:06,-0.004,21.06,7.75,0.65,1.76,0.63,22.75,22.69,22.56,0.00,22.75,24.50,24.50,23.75,
0:03:07,-0.005,21.09,7.62,0.65,1.83,0.63,22.75,22.69,22.56,0.00,22.75,24.50,24.50,23.75,
0:03:08,-0.005,21.12,7.75,0.63,1.81,0.64,22.69,22.69,22.56,0.00,22.75,24.25,24.50,23.75,
0:03:09,-0.005,21.12,7.87,0.66,1.79,0.62,22.75,22.69,22.56,0.00,22.75,24.25,24.50,23.75,
0:03:10,-0.004,21.12,7.75,0.62,1.83,0.63,22.75,22.69,22.56,0.00,22.75,24.50,24.50,24.00,
0:03:11,-0.004,21.09,7.87,0.65,1.83,0.64,22.75,22.69,22.56,0.00,22.75,24.50,24.25,23.75,
0:03:12,-0.004,21.12,7.99,0.64,1.78,0.62,22.75,22.69,22.56,0.00,22.75,24.50,24.50,23.75,
0:03:13,-0.005,21.00,7.99,0.63,1.83,0.65,22.75,22.69,22.56,0.00,22.75,24.50,24.50,23.75,
0:03:14,-0.005,21.18,8.11,0.64,1.76,0.65,22.69,22.69,22.56,0.00,22.75,24.50,24.50,24.00,
0:03:15,-0.005,21.15,7.75,0.64,1.76,0.64,22.75,22.69,22.56,0.00,22.75,24.50,24.50,24.00,
0:03:16,-0.004,21.09,7.99,0.64,1.79,0.65,22.75,22.69,22.56,0.00,22.75,24.50,24.50,24.00,
0:03:17,-0.005,21.21,7.99,0.62,1.81,0.63,22.75,22.69,22.56,0.00,22.75,24.50,24.50,24.00,
0:03:18,-0.005,21.15,7.99,0.62,1.78,0.63,22.69,22.69,22.56,0.00,22.75,24.50,24.50,23.75,
0:03:19,-0.005,21.18,8.11,0.60,1.76,0.62,22.75,22.69,22.56,0.00,22.75,24.50,24.50,23.75,
0:03:20,-0.005,21.21,7.99,0.64,1.79,0.62,22.75,22.69,22.56,0.00,22.75,24.25,24.50,23.75,
0:03:21,-0.005,21.12,7.99,0.64,1.83,0.64,22.69,22.69,22.56,0.00,22.75,24.50,24.25,24.00,
0:03:22,-0.004,21.24,8.11,0.62,1.79,0.64,22.75,22.69,22.56,0.00,22.75,24.50,24.50,23.75,
0:03:23,-0.004,21.15,8.48,0.64,1.78,0.63,22.75,22.69,22.56,0.00,22.75,24.50,24.50,23.75,
0:03:24,-0.005,21.15,8.24,0.65,1.78,0.64,22.75,22.69,22.56,0.00,22.75,24.50,24.50,24.00,
0:03:25,-0.004,21.15,8.24,0.64,1.74,0.64,22.75,22.69,22.56,0.00,22.75,24.50,24.50,24.00,
0:03:26,-0.005,21.18,8.24,0.64,1.76,0.64,22.75,22.69,22.56,0.00,22.75,24.50,24.50,24.00,
0:03:27,-0.005,21.15,8.36,0.65,1.79,0.65,22.75,22.69,22.56,0.00,22.75,24.50,24.50,24.00,
0:03:28,-0.004,21.06,8.24,0.62,1.78,0.62,22.75,22.69,22.56,0.00,22.75,24.50,24.50,24.00,
0:03:29,-0.004,21.24,8.36,0.62,1.78,0.62,22.69,22.69,22.56,0.00,22.75,24.50,24.50,24.00,
0:03:30,-0.005,21.06,8.48,0.62,1.75,0.60,22.69,22.69,22.56,0.00,22.75,24.50,24.25,24.00,
0:03:31,-0.005,21.12,8.48,0.65,1.76,0.63,22.69,22.69,22.56,0.00,22.75,24.50,24.50,24.00,
0:03:32,-0.005,21.09,8.60,0.62,1.78,0.63,22.69,22.69,22.56,0.00,22.75,24.50,24.50,24.00,
0:03:33,-0.004,21.18,8.48,0.60,1.76,0.63,22.69,22.69,22.56,0.00,22.75,24.50,24.25,24.00,
0:03:34,-0.005,21.18,9.95,0.63,1.75,0.62,22.75,22.69,22.56,0.00,22.75,24.50,24.25,24.00,
0:03:35,-0.005,21.12,8.72,0.65,1.73,0.64,22.69,22.69,22.56,0.00,22.75,24.50,24.25,24.00,
0:03:36,-0.004,21.15,8.85,0.59,1.75,0.63,22.69,22.69,22.56,0.00,22.75,24.50,24.25,24.00,
0:03:37,-0.004,21.06,8.36,0.64,1.75,0.65,22.69,22.69,22.56,0.00,22.75,24.50,24.50,24.00,
0:03:38,-0.004,21.09,8.60,0.64,1.76,0.64,22.69,22.69,22.56,0.00,22.75,24.50,24.50,24.00,
0:03:39,-0.004,20.97,8.72,0.63,1.73,0.64,22.69,22.69,22.56,0.00,22.75,24.50,24.25,24.00,
